"Log ID",Date,Description,"Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count",Pace,"Avg Watts",Cal/Hour,"Total Cal","Avg Heart Rate","Drag Factor",Age,Weight,Type,Ranked,Comments,"Date Entered"
96154023,"2025-01-04 08:29:00","v500m/2:00r...8 row",21:30.7,1290.7,16:00.0,960,4000,2231,30,1011,2:41.3,83,586,206,0,92,41,Hwt,RowErg,No,,"2025-01-04 14:29:54"
96099609,"2025-01-03 07:15:00","5x2000m/1:30r BikeErg",27:18.9,1638.9,7:30.0,450,10000,300,66,1877,2:43.8,80,573,260,134,56,41,,BikeErg,No,,"2025-01-03 13:16:23"
96048866,"2025-01-02 07:40:00","v1:00/1:00r...7 row",10:00.0,600,7:00.0,420,2049,874,31,453,2:26.4,112,683,110,0,86,41,Hwt,RowErg,No,,"2025-01-02 13:41:17"
96002042,"2025-01-01 07:43:00","30:07 BikeErg",30:07.7,1807.7,,,10618,,69,2111,2:50.2,71,544,270,0,43,41,,BikeErg,No,,"2025-01-01 13:43:50"
95968770,"2024-12-31 07:26:00","3x5:00/2:00r row",15:00.0,900,6:00.0,360,2791,724,33,610,2:41.2,84,587,146,0,84,41,Hwt,RowErg,No,,"2024-12-31 13:27:19"
95794821,"2024-12-26 08:00:00","v3:00/1:00r...12 BikeErg",36:00.0,2160,12:00.0,720,14723,1679,80,3232,2:26.7,111,681,404,0,44,41,,BikeErg,No,,"2024-12-26 14:01:04"
95775308,"2024-12-25 11:46:00","4x1000m/1:30r row",20:49.9,1249.9,6:00.0,360,4000,605,30,731,2:36.2,92,615,212,0,86,41,Hwt,RowErg,No,,"2024-12-25 17:47:03"
95302143,"2024-12-14 09:05:00","v1000m/3:00r...1 row",5:22.0,322,3:00.0,180,1000,16,32,173,2:41.0,84,588,52,0,86,41,Hwt,RowErg,No,,"2024-12-14 15:05:23"
95301441,"2024-12-14 08:52:00","v2000m/3:00r...3 BikeErg",13:27.7,807.7,9:00.0,540,6000,1885,87,1559,2:14.6,143,793,176,0,44,41,,BikeErg,No,,"2024-12-14 14:52:41"
95300174,"2024-12-14 08:28:00","6:12 BikeErg",6:12.9,372.9,,,2056,,65,406,3:01.3,59,501,51,0,44,41,,BikeErg,No,,"2024-12-14 14:28:51"
95255158,"2024-12-13 07:05:00","4x1000m/2:00r row",21:52.0,1312,8:00.0,480,4000,535,32,786,2:44.0,79,573,208,0,87,40,Hwt,RowErg,No,,"2024-12-13 13:06:05"
95208469,"2024-12-12 07:00:00","8x2000m/1:30r BikeErg",40:25.7,2425.7,12:00.0,720,16000,1613,78,3496,2:31.6,100,645,434,154,43,40,,BikeErg,No,,"2024-12-12 13:01:48"
95158762,"2024-12-11 07:13:00","3:07 row",3:07.8,187.8,,,466,,27,83,3:21.5,43,447,23,0,85,40,Hwt,RowErg,No,,"2024-12-11 13:13:45"
95158507,"2024-12-11 07:07:00","v500m/2:00r...5 row",17:03.5,1023.5,10:00.0,600,3500,1035,31,697,2:26.2,112,685,192,0,85,40,Hwt,RowErg,No,,"2024-12-11 13:07:52"
95107158,"2024-12-10 06:46:00","4x3000m/1:00r BikeErg",31:25.8,1885.8,4:00.0,240,12000,1051,79,2719,2:37.1,90,610,317,148,37,40,,BikeErg,No,,"2024-12-10 12:47:12"
95014956,"2024-12-08 08:27:00","25:43 row",25:43.2,1543.2,,,4517,,32,827,2:50.8,70,541,229,74,84,40,Hwt,RowErg,No,,"2024-12-08 14:27:20"
94927980,"2024-12-06 06:56:00","11:34 row",11:34.1,694.1,,,2017,,33,393,2:52.0,69,536,102,0,85,40,Hwt,RowErg,No,,"2024-12-06 12:57:00"
94927279,"2024-12-06 06:39:00","v1:40/0:20r...10 BikeErg",16:40.0,1000,3:20.0,200,6957,554,86,1554,2:23.7,118,705,191,0,38,40,,BikeErg,No,,"2024-12-06 12:40:30"
94926444,"2024-12-06 06:19:00","12:23 BikeErg",12:23.5,743.5,,,4022,,67,834,3:04.8,55,490,100,0,38,40,,BikeErg,No,,"2024-12-06 12:20:09"
94909407,"2024-12-05 17:59:00","24:30 row",24:30.1,1470.1,,,4089,,28,704,2:59.7,60,507,206,0,82,40,Hwt,RowErg,No,,"2024-12-06 00:00:53"
94879409,"2024-12-05 07:07:00","12:04 row",12:04.3,724.3,,,2018,,34,412,2:59.4,61,508,100,0,81,40,Hwt,RowErg,No,,"2024-12-05 13:08:17"
94878773,"2024-12-05 06:53:00","41:35 BikeErg",41:35.6,2495.6,,,15064,,74,3103,2:45.6,77,564,387,0,38,40,,BikeErg,No,,"2024-12-05 12:54:06"
94859485,"2024-12-04 17:26:00","2000m row",11:40.2,700.2,,,2000,,33,396,2:55.0,65,524,100,0,80,40,Hwt,RowErg,No,,"2024-12-04 23:27:12"
94830240,"2024-12-04 07:06:00","12:14 row",12:14.2,734.2,,,2016,,32,397,3:02.0,58,499,101,0,80,40,Hwt,RowErg,No,,"2024-12-04 13:07:28"
94829527,"2024-12-04 06:50:00","1:05:46 BikeErg",1:05:46.2,3946.2,,,23031,,71,4697,2:51.3,70,539,585,0,80,40,,BikeErg,No,,"2024-12-04 12:51:39"
94810214,"2024-12-03 18:15:00","20:48 row",20:48.0,1248,,,3523,,27,571,2:57.1,63,516,177,0,90,40,Hwt,RowErg,No,,"2024-12-04 00:16:45"
94776116,"2024-12-03 07:14:00","52:36 BikeErg",52:36.9,3156.9,,,18333,,73,3895,2:52.1,69,535,467,0,35,40,,BikeErg,No,,"2024-12-03 13:14:20"
94759396,"2024-12-02 20:55:00","11:42 row",11:42.5,702.5,,,2071,,27,327,2:49.6,72,546,106,0,105,40,Hwt,RowErg,No,,"2024-12-03 02:56:36"
94720756,"2024-12-02 07:11:00","2000m row",11:28.2,688.2,,,2000,,28,322,2:52.0,69,536,100,0,105,40,Hwt,RowErg,No,,"2024-12-02 13:11:48"
94720015,"2024-12-02 06:57:00","34:29 BikeErg",34:29.0,2069,,,12104,,74,2577,2:50.9,70,541,308,0,35,40,,BikeErg,No,,"2024-12-02 12:58:11"
94689837,"2024-12-01 12:27:00","1:26:21 BikeErg",1:26:21.1,5181.1,,,30083,,73,6408,2:52.2,69,535,766,0,70,40,,BikeErg,No,,"2024-12-01 18:28:30"
