"Log ID",Date,Description,"Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count",Pace,"Avg Watts",Cal/Hour,"Total Cal","Avg Heart Rate","Drag Factor",Age,Weight,Type,Ranked,Comments,"Date Entered"
90158759,"2024-07-20 08:14:00","v4:00/3:00r...4 row",16:00.0,960,12:00.0,720,3115,1648,29,719,2:34.0,96,629,167,147,101,40,Hwt,RowErg,No,,"2024-07-20 13:15:30"
90105894,"2024-07-18 07:18:00","30:00 row",30:00.0,1800,,,5024,,26,782,2:59.1,61,509,253,118,100,40,Hwt,RowErg,No,,"2024-07-18 12:19:41"
90105059,"2024-07-18 06:47:00","1:17 row",1:17.0,77,,,185,,22,28,3:28.1,39,433,9,95,102,40,Hwt,RowErg,No,,"2024-07-18 11:48:38"
89874940,"2024-07-10 07:45:00","v2:00/1:00r...8 row",16:00.0,960,8:00.0,480,3306,752,30,585,2:25.1,114,693,183,165,,40,Hwt,RowErg,No,,"2024-07-10 12:45:18"
89782512,"2024-07-07 08:35:00","v5:00/2:00r...5 row",15:00.0,900,10:00.0,600,3114,868,30,577,2:24.5,116,699,173,166,,40,Hwt,RowErg,No,,"2024-07-07 13:35:28"
89535426,"2024-06-28 07:17:00","v1000m/1:00r...5 row",25:45.9,1545.9,5:00.0,300,5000,227,30,811,2:34.5,95,626,268,167,100,40,Hwt,RowErg,No,,"2024-06-28 12:18:09"
89444374,"2024-06-25 07:22:00","27:10 row",27:10.1,1630.1,,,4736,,28,776,2:52.0,69,536,240,135,98,40,Hwt,RowErg,No,,"2024-06-25 12:23:44"
89362211,"2024-06-22 08:24:00","v500m/2:00r...8 row",18:54.0,1134,16:00.0,960,4000,527,30,653,2:21.7,123,722,226,171,101,40,Hwt,RowErg,No,,"2024-06-22 13:25:24"
89202983,"2024-06-17 07:13:00","5x1000m/1:30r row",27:14.1,1634.1,7:30.0,450,5000,372,31,898,2:43.4,80,576,259,149,101,40,Hwt,RowErg,No,,"2024-06-17 12:13:49"
89067905,"2024-06-12 07:34:00","v250m/0:45r...12 row",15:47.0,947,9:00.0,540,3000,811,31,595,2:37.8,89,606,155,152,105,40,Hwt,RowErg,No,,"2024-06-12 12:35:20"
88000439,"2024-05-08 07:10:00","v2:00/1:00r...8 row",16:00.0,960,8:00.0,480,2810,969,28,590,2:50.8,70,541,139,129,105,40,Hwt,RowErg,No,,"2024-05-08 12:11:10"
87964660,"2024-05-07 07:04:00","v1:00/1:00r...6 row",21:00.0,1260,6:00.0,360,3783,503,30,701,2:46.5,76,560,194,135,105,40,Hwt,RowErg,No,,"2024-05-07 12:05:06"
87876032,"2024-05-04 08:11:00","5x1000m/1:00r row",27:22.2,1642.2,5:00.0,300,5000,200,28,806,2:44.2,79,571,260,142,106,40,Hwt,RowErg,No,,"2024-05-04 13:12:15"
87812997,"2024-05-02 07:10:00","30:00 BikeErg",30:00.0,1800,,,11670,,65,1959,2:34.2,95,628,312,157,72,40,,BikeErg,No,,"2024-05-02 12:10:57"
