"Log ID",Date,Description,"Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count",Pace,"Avg Watts",Cal/Hour,"Total Cal","Avg Heart Rate","Drag Factor",Age,Weight,Type,Ranked,Comments,"Date Entered"
101653432,"2025-04-30 06:46:00","4x500m/0:30r SkiErg",11:17.5,677.5,2:00.0,120,2000,119,30,359,2:49.3,72,547,101,0,99,41,,SkiErg,No,,"2025-04-30 11:47:20"
101614876,"2025-04-29 06:49:00","12:04 row",12:04.4,724.4,,,2031,,26,317,2:58.3,62,512,102,0,103,41,Hwt,RowErg,No,,"2025-04-29 11:50:28"
101613980,"2025-04-29 06:32:00","15000m BikeErg",39:33.5,2373.5,,,15000,,69,2746,2:38.2,88,604,399,0,55,41,,BikeErg,No,,"2025-04-29 11:33:26"
101550144,"2025-04-28 07:09:00","4500m row",25:45.5,1545.5,,,4500,,27,712,2:51.7,69,537,229,0,105,41,Hwt,RowErg,No,,"2025-04-28 12:10:13"
101432715,"2025-04-26 07:20:00","12:00 SkiErg",12:00.0,720,,,2068,,29,353,2:54.0,66,528,104,0,99,41,,SkiErg,No,,"2025-04-26 12:21:54"
101431718,"2025-04-26 07:06:00","20:00 row",20:00.0,1200,,,3154,,22,451,3:10.2,51,474,157,0,107,41,Hwt,RowErg,No,,"2025-04-26 12:06:41"
101370624,"2025-04-25 06:54:00","30:00 BikeErg",30:00.0,1800,,,11041,,66,2008,2:43.0,81,577,286,0,56,41,,BikeErg,No,,"2025-04-25 11:55:03"
101301608,"2025-04-24 07:05:00","10x1:15/0:30r SkiErg",12:30.0,750,5:00.0,300,2245,146,31,392,2:47.0,75,558,112,0,84,41,,SkiErg,No,,"2025-04-24 12:05:49"
101226669,"2025-04-23 07:02:00","9x500m/0:30r row",25:07.8,1507.8,4:30.0,270,4500,225,28,723,2:47.5,74,556,229,0,104,41,Hwt,RowErg,No,,"2025-04-23 12:03:20"
100985645,"2025-04-20 07:36:00","v1:40/0:20r...10 SkiErg",16:40.0,1000,3:20.0,200,2886,159,30,512,2:53.2,67,531,143,0,80,41,,SkiErg,No,,"2025-04-20 12:36:45"
100847159,"2025-04-18 07:07:00","v1:00/1:00r...7 row",10:00.0,600,7:00.0,420,2051,730,29,416,2:26.2,112,684,110,0,104,41,Hwt,RowErg,No,,"2025-04-18 12:08:13"
100789864,"2025-04-17 07:03:00","8x250m/0:30r SkiErg",11:41.4,701.4,4:00.0,240,2000,116,31,370,2:55.3,65,523,96,0,80,41,,SkiErg,No,,"2025-04-17 12:04:02"
100745036,"2025-04-16 07:01:00","13x1:00/1:00r row",13:00.0,780,13:00.0,780,2548,1637,29,643,2:33.0,98,635,132,0,105,41,Hwt,RowErg,No,,"2025-04-16 12:01:25"
100696678,"2025-04-15 06:25:00","5:07 SkiErg",5:07.0,307,,,896,,32,166,2:51.3,70,539,45,0,79,41,,SkiErg,No,,"2025-04-15 11:25:44"
100423842,"2025-04-08 07:07:00","25:00 row",25:00.0,1500,,,4224,,26,662,2:57.5,63,515,212,0,106,41,Hwt,RowErg,No,,"2025-04-08 12:08:30"
100034778,"2025-03-29 07:02:00","v0:45/0:45r...20 row",15:00.0,900,15:00.0,900,3308,1423,29,649,2:16.0,139,778,184,0,105,41,Hwt,RowErg,No,,"2025-03-29 12:03:31"
99958761,"2025-03-27 07:03:00","15:00 row",15:00.0,900,,,3010,,29,436,2:29.5,105,660,162,0,106,41,Hwt,RowErg,No,,"2025-03-27 12:04:26"
99915696,"2025-03-26 06:52:00","10x1:30/0:45r row",15:00.0,900,7:30.0,450,2779,761,29,549,2:41.9,82,583,143,0,105,41,Hwt,RowErg,No,,"2025-03-26 11:53:52"
99870763,"2025-03-25 06:50:00","40:00 BikeErg",40:00.0,2400,,,15257,,69,2782,2:37.3,90,609,403,0,56,41,,BikeErg,No,,"2025-03-25 11:50:56"
