"Log ID",Date,Description,"Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count",Pace,"Avg Watts",Cal/Hour,"Total Cal","Avg Heart Rate","Drag Factor",Age,Weight,Type,Ranked,Comments,"Date Entered"
87737957,"2024-04-30 06:44:00","8x500m/0:30r row",21:31.9,1291.9,4:00.0,240,4000,208,29,656,2:41.4,83,586,207,148,107,40,Hwt,RowErg,No,,"2024-04-30 11:45:21"
87580351,"2024-04-25 07:04:00","11:14 BikeErg",11:14.9,674.9,,,4042,,56,635,2:46.9,75,558,103,138,87,40,,BikeErg,No,,"2024-04-25 12:05:23"
87579977,"2024-04-25 06:52:00","v2000m/3:00r...3 BikeErg",14:41.8,881.8,9:00.0,540,6000,2590,63,1348,2:26.9,110,679,164,154,87,40,,BikeErg,No,,"2024-04-25 11:53:28"
87544965,"2024-04-24 06:45:00","v500m/1:00r...6 row",16:01.1,961.1,6:00.0,360,3000,492,28,522,2:40.1,85,593,155,145,108,40,Hwt,RowErg,No,,"2024-04-24 11:46:31"
87507068,"2024-04-23 06:51:00","2:30 row",2:30.8,150.8,,,382,,19,48,3:17.3,46,456,19,125,106,40,Hwt,RowErg,No,,"2024-04-23 11:52:08"
87506915,"2024-04-23 06:47:00","v500m/2:00r...5 row",17:43.0,1063,10:00.0,600,3500,959,31,704,2:31.8,100,643,188,162,87,40,Hwt,RowErg,No,,"2024-04-23 11:47:59"
87438411,"2024-04-21 08:56:00","10:39 BikeErg",10:39.1,639.1,,,4041,,59,634,2:38.1,88,604,106,150,90,40,,BikeErg,No,,"2024-04-21 13:57:26"
87438071,"2024-04-21 08:45:00","v3:00/2:00r...5 BikeErg",19:00.0,1140,10:00.0,600,7945,2540,61,1554,2:23.4,118,707,222,159,102,40,,BikeErg,No,,"2024-04-21 13:46:14"
87408609,"2024-04-20 07:26:00","v5:00/2:00r...4 row",20:00.0,1200,8:00.0,480,3803,802,30,719,2:37.7,89,606,201,149,96,40,Hwt,RowErg,No,,"2024-04-20 12:26:47"
87344946,"2024-04-18 07:03:00","v2000m/1:00r...5 BikeErg",23:40.6,1420.6,5:00.0,300,10000,596,71,1796,2:22.0,122,720,282,170,71,40,,BikeErg,No,,"2024-04-18 12:03:48"
87343870,"2024-04-18 06:34:00","5:05 BikeErg",5:05.4,305.4,,,1554,,51,259,3:16.5,46,458,38,131,73,40,,BikeErg,No,,"2024-04-18 11:34:27"
87308969,"2024-04-17 07:21:00","v500m/2:00r...8 row",19:53.5,1193.5,16:00.0,960,4000,1420,31,843,2:29.1,105,662,216,162,92,40,Hwt,RowErg,No,,"2024-04-17 12:22:06"
87168698,"2024-04-13 08:20:00","8x5:00/2:00r row",40:00.0,2400,16:00.0,960,7428,1091,30,1382,2:41.5,83,585,387,156,98,40,Hwt,RowErg,No,,"2024-04-13 13:20:59"
87096206,"2024-04-11 07:02:00","35:00 BikeErg",35:00.0,2100,,,13058,,61,2161,2:40.8,84,589,342,156,73,40,,BikeErg,No,,"2024-04-11 12:02:17"
87015693,"2024-04-09 06:52:00","5:52 row",5:52.3,352.3,,,1018,,33,199,2:53.0,68,532,51,135,98,40,Hwt,RowErg,No,,"2024-04-09 11:52:58"
87015426,"2024-04-09 06:45:00","v2:00/1:00r...7 row",17:00.0,1020,7:00.0,420,3153,238,27,497,2:41.7,83,584,163,139,101,40,Hwt,RowErg,No,,"2024-04-09 11:46:17"
86947533,"2024-04-07 08:41:00","30:00 BikeErg",30:00.0,1800,,,10226,,58,1749,2:56.0,64,520,257,130,68,40,,BikeErg,No,,"2024-04-07 13:41:21"
86946476,"2024-04-07 08:04:00","v1000m/2:00r...5 BikeErg",10:56.9,656.9,10:00.0,600,5000,1741,66,1013,2:11.3,154,831,149,173,104,40,,BikeErg,No,,"2024-04-07 13:05:07"
86919179,"2024-04-06 09:02:00","5x1000m/2:00r row",26:14.4,1574.4,10:00.0,600,5000,588,30,868,2:37.4,90,608,264,150,102,40,Hwt,RowErg,No,,"2024-04-06 14:03:22"
86840483,"2024-04-04 06:57:00","11:15 BikeErg",11:15.6,675.6,,,4059,,57,641,2:46.4,76,561,104,149,86,40,,BikeErg,No,,"2024-04-04 11:58:03"
86839993,"2024-04-04 06:44:00","v1:00/1:00r...12 BikeErg",12:00.0,720,12:00.0,720,5535,2123,72,1215,2:10.0,159,847,164,169,84,40,,BikeErg,No,,"2024-04-04 11:44:34"
86839056,"2024-04-04 06:19:00","5:29 BikeErg",5:29.1,329.1,,,2054,,57,314,2:40.2,85,592,53,135,94,40,,BikeErg,No,,"2024-04-04 11:19:32"
86755586,"2024-04-02 06:58:00","5x1000m/1:30r row",26:11.2,1571.2,7:30.0,450,5000,265,30,805,2:37.1,90,610,264,146,100,40,Hwt,RowErg,No,,"2024-04-02 11:59:25"
