"Log ID",Date,Description,"Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count",Pace,"Avg Watts",Cal/Hour,"Total Cal","Avg Heart Rate","Drag Factor",Age,Weight,Type,Ranked,Comments,"Date Entered"
110524793,"2026-01-01 08:48:00","12000m BikeErg",29:14.3,1754.3,,,12000,,75,2195,2:26.1,112,685,339,0,55,42,,BikeErg,No,,"2026-01-01 14:48:58"
110486683,"2025-12-31 08:03:00","v500m/2:00r...5 row",16:48.7,1008.7,10:00.0,600,3500,571,30,602,2:24.1,117,702,197,0,104,42,Hwt,RowErg,No,,"2025-12-31 14:03:22"
110401825,"2025-12-29 08:06:00","8x300m/2:00r SkiErg",13:26.8,806.8,16:00.0,960,2400,127,26,361,2:48.0,74,553,120,0,72,42,,SkiErg,No,,"2025-12-29 14:07:15"
110364992,"2025-12-28 07:14:00","12280m BikeErg",30:35.7,1835.7,,,12280,,73,2251,2:29.4,105,660,339,0,55,42,,BikeErg,No,,"2025-12-28 13:15:06"
110343596,"2025-12-27 12:30:00","2727m row",14:05.0,845,,,2727,,30,434,2:34.9,94,623,147,0,103,42,Hwt,RowErg,No,,"2025-12-27 18:31:23"
110300776,"2025-12-26 08:45:00","12260m BikeErg",32:59.8,1979.8,,,12260,,68,2248,2:41.4,83,586,324,0,55,42,,BikeErg,No,,"2025-12-26 14:46:01"
110280532,"2025-12-25 12:35:00","2525m row",14:51.0,891,,,2525,,27,413,2:56.4,64,519,129,0,103,42,Hwt,RowErg,No,,"2025-12-25 18:36:10"
110280004,"2025-12-25 12:08:00","2525m SkiErg",16:02.2,962.2,,,2525,,23,370,3:10.5,51,474,131,0,74,42,,SkiErg,No,,"2025-12-25 18:08:31"
110066237,"2025-12-20 08:36:00","2449m row",13:53.3,833.3,,,2449,,29,405,2:50.1,71,544,127,0,103,42,Hwt,RowErg,No,,"2025-12-20 14:37:00"
110064712,"2025-12-20 08:11:00","1220m SkiErg",6:50.7,410.7,,,1220,,29,199,2:48.3,73,552,63,0,72,42,,SkiErg,No,,"2025-12-20 14:11:22"
109969308,"2025-12-18 06:22:00","16000m BikeErg",41:20.2,2480.2,,,16000,,71,2936,2:35.0,94,623,429,0,55,42,,BikeErg,No,,"2025-12-18 12:23:30"
109864922,"2025-12-16 06:29:00","4x500m/0:30r row",10:59.6,659.6,2:00.0,120,2000,190,32,384,2:44.9,78,568,103,0,102,42,Hwt,RowErg,No,,"2025-12-16 12:30:31"
109864103,"2025-12-16 06:13:00","1216m SkiErg",7:06.9,426.9,,,1216,,28,201,2:55.5,65,522,62,0,74,42,,SkiErg,No,,"2025-12-16 12:14:13"
